"","V1","V2","V3"
"1",0.002899,0.125000,189
"2",0.252174,0.378261,1529
"3",0.037681,0.351351,567
"4",0.107246,0.381443,647
"5",0.002899,0.125000,120
"6",0.052174,0.375000,892
"7",0.008696,0.214286,271
"8",0.040580,0.350000,898
"9",0.008696,0.230769,365
"10",0.104348,0.371134,1252
"11",0.078261,0.369863,1064
"12",0.008696,0.230769,149
"13",0.008696,0.250000,463
"14",0.063768,0.349206,885
"15",0.026087,0.290323,343
"16",0.040580,0.333333,580
"17",0.031884,0.343750,654
"18",0.002899,0.125000,4
"19",0.020290,0.304348,510
"20",0.255072,0.382609,1604
"21",0.197101,0.382022,1205
"22",0.002899,0.111111,132
"23",0.214493,0.387435,1482
"24",0.266667,0.388186,2122
"25",0.014493,0.263158,498
"26",0.034783,0.315789,604
"27",0.052174,0.346154,874
"28",0.008696,0.214286,304
"29",0.028986,0.322581,609
"30",0.011594,0.285714,534
"31",0.002899,0.125000,84
"32",0.002899,0.125000,247
"33",0.002899,0.125000,209
"34",0.005797,0.166667,154
"35",0.005797,0.200000,114
"36",0.185507,0.392638,1275
"37",0.011594,0.266667,347
"38",0.063768,0.360656,698
"39",0.344928,0.383871,1588
"40",0.046377,0.340426,684
"41",0.002899,0.125000,62
"42",0.069565,0.369231,901
"43",0.028986,0.303030,842
"44",0.278261,0.377953,2139
"45",0.008696,0.214286,460
"46",0.066667,0.377049,845
"47",0.002899,0.125000,90
"48",0.208696,0.391304,1159
"49",0.011594,0.250000,526
"50",0.055072,0.345455,1193
"51",0.350725,0.406040,1929
"52",0.031884,0.354839,765
"53",0.037681,0.317073,622
"54",0.008696,0.214286,294
"55",0.284058,0.398374,2014
"56",0.127536,0.382609,816
"57",0.014493,0.294118,433
"58",0.231884,0.365297,1147
"59",0.104348,0.356436,1281
"60",0.153623,0.384058,1574
"61",0.002899,0.111111,177
"62",0.028986,0.333333,589
"63",0.008696,0.200000,617
"64",0.066667,0.377049,746
"65",0.005797,0.200000,179
"66",0.034783,0.363636,561
"67",0.011594,0.266667,425
"68",0.200000,0.389830,1603
"69",0.002899,0.125000,106
"70",0.069565,0.352941,1070
"71",0.214493,0.395722,1703
"72",0.028986,0.322581,402
"73",0.286957,0.386719,1614
"74",0.052174,0.382979,520
"75",0.136232,0.376000,1157
"76",0.121739,0.381818,874
"77",0.002899,0.111111,67
"78",0.104348,0.360000,1006
"79",0.202899,0.364583,1856
"80",0.014493,0.294118,275
"81",0.005797,0.166667,131
"82",0.397101,0.397101,2584
"83",0.260870,0.400000,1544
"84",0.081159,0.378378,1132
"85",0.005797,0.181818,106
"86",0.002899,0.125000,196
"87",0.147826,0.392308,1948
"88",0.005797,0.200000,256
"89",0.115942,0.370370,883
"90",0.153623,0.370629,1210
"91",0.014493,0.294118,324
"92",0.049275,0.340000,860
"93",0.237681,0.396135,1556
"94",0.005797,0.181818,184
"95",0.084058,0.367089,746
"96",0.052174,0.346154,699
"97",0.005797,0.200000,198
"98",0.350725,0.398026,1203
"99",0.101449,0.372340,1579
"100",0.008696,0.214286,411
"101",0.002899,0.111111,199
"102",0.124638,0.377193,799
"103",0.002899,0.111111,205
"104",0.005797,0.181818,137
"105",0.014493,0.312500,149
"106",0.197101,0.395349,1802
"107",0.063768,0.333333,937
"108",0.046377,0.363636,621
