"","V1","V2","V3"
"1",0.009259,0.181818,264
"2",0.004630,0.125000,134
"3",0.018519,0.250000,319
"4",0.009259,0.181818,397
"5",0.009259,0.200000,265
"6",0.004630,0.125000,296
"7",0.050926,0.323529,868
"8",0.009259,0.166667,161
"9",0.041667,0.333333,403
"10",0.083333,0.321429,608
"11",0.004630,0.125000,37
"12",0.004630,0.125000,301
"13",0.023148,0.263158,371
"14",0.004630,0.125000,163
"15",0.004630,0.111111,50
"16",0.009259,0.181818,115
"17",0.018519,0.285714,476
"18",0.004630,0.125000,341
"19",0.004630,0.111111,338
"20",0.004630,0.125000,159
"21",0.023148,0.277778,522
"22",0.004630,0.125000,4
"23",0.013889,0.250000,503
"24",0.004630,0.111111,134
"25",0.023148,0.294118,544
"26",0.004630,0.111111,178
"27",0.009259,0.181818,142
"28",0.004630,0.111111,159
"29",0.009259,0.166667,298
"30",0.004630,0.125000,109
"31",0.013889,0.214286,371
"32",0.046296,0.312500,482
"33",0.004630,0.125000,134
"34",0.027778,0.285714,330
"35",0.004630,0.125000,106
"36",0.055556,0.315789,453
"37",0.087963,0.372549,670
"38",0.041667,0.290323,440
"39",0.004630,0.125000,30
"40",0.004630,0.125000,62
"41",0.004630,0.125000,147
"42",0.023148,0.294118,178
"43",0.018519,0.266667,436
"44",0.013889,0.214286,415
"45",0.055556,0.315789,615
"46",0.046296,0.294118,447
"47",0.004630,0.125000,267
"48",0.032407,0.318182,281
"49",0.018519,0.235294,478
"50",0.074074,0.355556,746
"51",0.004630,0.125000,217
"52",0.050926,0.343750,419
"53",0.004630,0.125000,70
"54",0.037037,0.307692,503
"55",0.027778,0.285714,517
"56",0.004630,0.111111,234
"57",0.023148,0.294118,239
"58",0.009259,0.200000,314
"59",0.004630,0.111111,195
"60",0.013889,0.230769,205
"61",0.009259,0.166667,238
"62",0.009259,0.181818,228
"63",0.027778,0.300000,370
"64",0.004630,0.125000,64
"65",0.078704,0.320755,536
"66",0.013889,0.230769,233
"67",0.055556,0.342857,761
"68",0.004630,0.125000,85
"69",0.069444,0.319149,455
"70",0.004630,0.111111,222
"71",0.009259,0.181818,256
"72",0.004630,0.125000,121
"73",0.037037,0.307692,436
"74",0.004630,0.111111,186
"75",0.004630,0.111111,124
"76",0.004630,0.125000,129
"77",0.009259,0.200000,178
"78",0.027778,0.300000,429
"79",0.023148,0.312500,438
"80",0.018519,0.235294,372
"81",0.032407,0.291667,369
"82",0.004630,0.125000,113
"83",0.060185,0.317073,1001
"84",0.013889,0.230769,164
"85",0.018519,0.235294,501
"86",0.004630,0.125000,291
"87",0.069444,0.340909,732
"88",0.004630,0.125000,43
"89",0.004630,0.125000,140
"90",0.004630,0.111111,159
"91",0.027778,0.315789,255
"92",0.013889,0.214286,363
"93",0.009259,0.200000,159
"94",0.004630,0.125000,266
"95",0.004630,0.111111,77
"96",0.023148,0.263158,382
"97",0.041667,0.321429,571
"98",0.004630,0.111111,159
"99",0.013889,0.200000,214
"100",0.004630,0.111111,246
"101",0.004630,0.111111,135
"102",0.032407,0.291667,472
"103",0.027778,0.285714,270
"104",0.004630,0.111111,301
"105",0.018519,0.250000,253
"106",0.009259,0.166667,430
"107",0.004630,0.111111,263
"108",0.009259,0.181818,195
"109",0.018519,0.235294,259
"110",0.004630,0.125000,175
"111",0.074074,0.355556,676
"112",0.004630,0.125000,235
"113",0.004630,0.111111,125
"114",0.004630,0.111111,140
"115",0.009259,0.200000,261
"116",0.027778,0.285714,552
"117",0.023148,0.312500,183
"118",0.023148,0.250000,753
"119",0.009259,0.166667,188
"120",0.004630,0.125000,13
"121",0.013889,0.230769,439
"122",0.013889,0.230769,323
"123",0.004630,0.111111,161
"124",0.004630,0.111111,320
"125",0.023148,0.277778,380
"126",0.027778,0.272727,526
"127",0.009259,0.200000,194
"128",0.009259,0.166667,326
"129",0.009259,0.200000,185
"130",0.023148,0.250000,614
"131",0.004630,0.125000,91
"132",0.013889,0.230769,363
"133",0.041667,0.346154,614
"134",0.004630,0.111111,97
"135",0.032407,0.304348,410
"136",0.064815,0.350000,564
"137",0.060185,0.342105,495
"138",0.004630,0.125000,319
"139",0.004630,0.111111,154
"140",0.027778,0.272727,449
"141",0.027778,0.260870,331
"142",0.004630,0.125000,93
"143",0.046296,0.344828,441
"144",0.009259,0.166667,323
"145",0.083333,0.382979,943
"146",0.032407,0.280000,672
"147",0.027778,0.272727,353
"148",0.013889,0.250000,282
"149",0.009259,0.181818,116
"150",0.004630,0.111111,143
"151",0.004630,0.111111,160
"152",0.004630,0.125000,124
"153",0.023148,0.277778,445
"154",0.004630,0.111111,111
