"","V1","V2","V3"
"1",0.018987,0.230769,480
"2",0.006329,0.125000,96
"3",0.006329,0.125000,206
"4",0.018987,0.250000,434
"5",0.031646,0.263158,364
"6",0.006329,0.111111,379
"7",0.006329,0.125000,383
"8",0.018987,0.214286,479
"9",0.025316,0.266667,288
"10",0.025316,0.235294,315
"11",0.006329,0.125000,196
"12",0.006329,0.125000,157
"13",0.050633,0.307692,426
"14",0.006329,0.111111,75
"15",0.012658,0.181818,503
"16",0.025316,0.250000,294
"17",0.012658,0.200000,120
"18",0.006329,0.125000,177
"19",0.069620,0.343750,528
"20",0.006329,0.111111,68
"21",0.012658,0.200000,246
"22",0.006329,0.111111,60
"23",0.006329,0.111111,351
"24",0.018987,0.214286,377
"25",0.006329,0.111111,87
"26",0.006329,0.111111,146
"27",0.050633,0.347826,726
"28",0.012658,0.200000,300
"29",0.044304,0.291667,448
"30",0.006329,0.125000,95
"31",0.012658,0.181818,294
"32",0.012658,0.181818,412
"33",0.006329,0.125000,145
"34",0.006329,0.125000,443
"35",0.012658,0.166667,448
"36",0.012658,0.181818,364
"37",0.006329,0.125000,151
"38",0.018987,0.214286,246
"39",0.006329,0.111111,195
"40",0.031646,0.250000,268
"41",0.012658,0.181818,199
"42",0.006329,0.111111,251
"43",0.006329,0.125000,36
"44",0.056962,0.321429,375
"45",0.044304,0.269231,601
"46",0.031646,0.277778,560
"47",0.018987,0.230769,307
"48",0.012658,0.181818,202
"49",0.006329,0.111111,212
"50",0.006329,0.125000,205
"51",0.012658,0.181818,308
"52",0.018987,0.214286,177
"53",0.031646,0.263158,423
"54",0.006329,0.111111,31
"55",0.012658,0.181818,325
"56",0.025316,0.250000,229
"57",0.006329,0.125000,110
"58",0.006329,0.125000,172
"59",0.025316,0.235294,400
"60",0.006329,0.125000,143
"61",0.012658,0.200000,122
"62",0.012658,0.200000,190
"63",0.006329,0.111111,176
"64",0.025316,0.235294,420
"65",0.037975,0.300000,305
"66",0.006329,0.125000,470
"67",0.006329,0.125000,142
"68",0.018987,0.214286,365
"69",0.018987,0.250000,209
"70",0.006329,0.111111,83
"71",0.006329,0.111111,290
"72",0.006329,0.111111,219
"73",0.018987,0.230769,131
"74",0.075949,0.352941,498
"75",0.025316,0.235294,343
"76",0.006329,0.111111,312
"77",0.006329,0.111111,9
"78",0.006329,0.125000,84
"79",0.012658,0.166667,215
"80",0.006329,0.111111,81
"81",0.031646,0.277778,252
"82",0.012658,0.181818,281
"83",0.006329,0.111111,228
"84",0.006329,0.111111,132
"85",0.006329,0.125000,126
"86",0.018987,0.250000,400
"87",0.018987,0.230769,163
"88",0.018987,0.230769,251
"89",0.006329,0.111111,210
"90",0.018987,0.214286,352
"91",0.044304,0.259259,489
"92",0.006329,0.111111,488
"93",0.018987,0.230769,217
"94",0.037975,0.300000,344
"95",0.025316,0.235294,389
"96",0.018987,0.230769,349
"97",0.006329,0.111111,4
"98",0.006329,0.111111,72
"99",0.044304,0.291667,258
"100",0.006329,0.111111,198
"101",0.006329,0.125000,163
"102",0.006329,0.125000,73
"103",0.006329,0.125000,144
"104",0.006329,0.125000,131
"105",0.006329,0.111111,241
"106",0.006329,0.111111,103
"107",0.006329,0.111111,131
"108",0.006329,0.111111,500
"109",0.006329,0.111111,161
"110",0.025316,0.285714,289
"111",0.037975,0.285714,426
"112",0.006329,0.125000,97
"113",0.006329,0.111111,190
"114",0.006329,0.111111,216
"115",0.006329,0.125000,125
"116",0.006329,0.125000,146
"117",0.006329,0.125000,80
"118",0.006329,0.125000,115
"119",0.025316,0.250000,170
"120",0.025316,0.266667,437
"121",0.044304,0.280000,616
"122",0.006329,0.111111,149
"123",0.031646,0.263158,355
"124",0.025316,0.250000,350
