"","V1","V2","V3"
"1",0.108475,0.376471,745
"2",0.006780,0.181818,405
"3",0.016949,0.263158,638
"4",0.010169,0.200000,462
"5",0.098305,0.376623,1125
"6",0.006780,0.166667,261
"7",0.003390,0.125000,57
"8",0.010169,0.214286,504
"9",0.010169,0.250000,210
"10",0.003390,0.111111,194
"11",0.050847,0.348837,705
"12",0.027119,0.296296,518
"13",0.003390,0.125000,186
"14",0.149153,0.372881,811
"15",0.142373,0.375000,1362
"16",0.135593,0.380952,1421
"17",0.054237,0.347826,616
"18",0.016949,0.277778,366
"19",0.010169,0.230769,221
"20",0.006780,0.181818,158
"21",0.057627,0.333333,760
"22",0.010169,0.250000,348
"23",0.006780,0.181818,164
"24",0.003390,0.125000,293
"25",0.010169,0.214286,307
"26",0.023729,0.291667,307
"27",0.006780,0.200000,159
"28",0.077966,0.353846,1454
"29",0.033898,0.322581,455
"30",0.013559,0.250000,478
"31",0.037288,0.343750,639
"32",0.098305,0.358025,661
"33",0.138983,0.372727,1108
"34",0.006780,0.181818,95
"35",0.013559,0.222222,430
"36",0.003390,0.125000,67
"37",0.071186,0.375000,1191
"38",0.003390,0.125000,115
"39",0.016949,0.277778,398
"40",0.006780,0.200000,339
"41",0.044068,0.325000,305
"42",0.047458,0.368421,587
"43",0.010169,0.214286,374
"44",0.016949,0.250000,385
"45",0.020339,0.315789,471
"46",0.023729,0.304348,528
"47",0.091525,0.355263,976
"48",0.003390,0.125000,59
"49",0.067797,0.338983,1017
"50",0.098305,0.358025,821
"51",0.020339,0.300000,267
"52",0.006780,0.181818,410
"53",0.094915,0.378378,1155
"54",0.064407,0.358491,746
"55",0.016949,0.250000,289
"56",0.006780,0.166667,321
"57",0.003390,0.125000,141
"58",0.010169,0.214286,319
"59",0.071186,0.362069,507
"60",0.006780,0.200000,290
"61",0.006780,0.181818,209
"62",0.057627,0.361702,525
"63",0.003390,0.125000,122
"64",0.010169,0.214286,259
"65",0.010169,0.230769,283
