"","V1","V2","V3"
"1",0.020000,0.200000,154
"2",0.010000,0.125000,434
"3",0.010000,0.125000,42
"4",0.010000,0.125000,102
"5",0.020000,0.181818,365
"6",0.050000,0.277778,607
"7",0.010000,0.111111,227
"8",0.010000,0.111111,179
"9",0.010000,0.125000,82
"10",0.020000,0.166667,174
"11",0.020000,0.166667,393
"12",0.050000,0.277778,446
"13",0.010000,0.125000,180
"14",0.010000,0.125000,165
"15",0.010000,0.125000,74
"16",0.010000,0.111111,154
"17",0.010000,0.125000,317
"18",0.020000,0.166667,182
"19",0.090000,0.310345,355
"20",0.030000,0.200000,438
"21",0.010000,0.125000,138
"22",0.010000,0.111111,176
"23",0.020000,0.166667,117
"24",0.010000,0.125000,218
"25",0.010000,0.125000,118
"26",0.010000,0.125000,282
"27",0.010000,0.111111,99
"28",0.020000,0.181818,250
"29",0.010000,0.111111,118
"30",0.020000,0.181818,110
"31",0.010000,0.111111,200
"32",0.030000,0.250000,335
"33",0.030000,0.214286,235
"34",0.010000,0.111111,135
"35",0.010000,0.125000,109
"36",0.010000,0.111111,124
"37",0.010000,0.125000,22
"38",0.010000,0.125000,228
"39",0.010000,0.111111,41
"40",0.010000,0.111111,112
"41",0.010000,0.111111,109
"42",0.010000,0.125000,178
"43",0.010000,0.111111,171
"44",0.010000,0.111111,117
"45",0.030000,0.214286,246
"46",0.010000,0.125000,95
"47",0.010000,0.125000,49
"48",0.010000,0.125000,146
"49",0.020000,0.181818,144
"50",0.010000,0.111111,156
"51",0.010000,0.125000,153
"52",0.010000,0.111111,66
"53",0.020000,0.181818,115
"54",0.030000,0.214286,320
"55",0.010000,0.111111,71
"56",0.020000,0.181818,127
"57",0.010000,0.125000,228
"58",0.030000,0.200000,278
"59",0.050000,0.277778,525
"60",0.010000,0.125000,121
"61",0.010000,0.111111,156
"62",0.010000,0.125000,160
"63",0.010000,0.125000,36
"64",0.010000,0.125000,121
"65",0.020000,0.200000,150
"66",0.010000,0.125000,203
"67",0.010000,0.111111,269
"68",0.010000,0.111111,211
"69",0.020000,0.181818,85
"70",0.010000,0.125000,258
"71",0.030000,0.230769,316
"72",0.020000,0.166667,385
"73",0.020000,0.181818,345
"74",0.010000,0.111111,129
"75",0.050000,0.277778,257
