"","V1","V2","V3"
"1",0.349432,0.383178,2135
"2",0.286932,0.389961,1590
"3",0.281250,0.389764,1300
"4",0.247159,0.384956,1386
"5",0.022727,0.320000,511
"6",0.068182,0.363636,1016
"7",0.150568,0.378571,1518
"8",0.014205,0.263158,288
"9",0.002841,0.125000,136
"10",0.073864,0.371429,1141
"11",0.380682,0.381766,1926
"12",0.022727,0.307692,546
"13",0.002841,0.111111,34
"14",0.224432,0.374408,1175
"15",0.053977,0.339286,567
"16",0.113636,0.392157,980
"17",0.008523,0.214286,346
"18",0.110795,0.364486,1269
"19",0.034091,0.324324,671
"20",0.181818,0.385542,966
"21",0.002841,0.125000,43
"22",0.005682,0.181818,156
"23",0.133523,0.361538,703
"24",0.142045,0.378788,1560
"25",0.028409,0.333333,513
"26",0.127841,0.371901,1028
"27",0.005682,0.181818,351
"28",0.147727,0.376812,773
"29",0.264205,0.395745,1857
"30",0.005682,0.200000,138
"31",0.235795,0.389671,1514
"32",0.051136,0.360000,839
"33",0.002841,0.111111,118
"34",0.008523,0.214286,149
"35",0.349432,0.381988,2032
"36",0.252841,0.383621,1942
"37",0.133523,0.376000,799
"38",0.227273,0.377358,2618
"39",0.008523,0.214286,303
"40",0.005682,0.166667,311
"41",0.028409,0.322581,518
"42",0.008523,0.214286,253
"43",0.005682,0.181818,224
"44",0.005682,0.200000,198
"45",0.193182,0.395349,1030
"46",0.042614,0.333333,761
"47",0.008523,0.230769,341
"48",0.167614,0.404110,1527
"49",0.159091,0.394366,1959
"50",0.005682,0.200000,271
"51",0.184659,0.373563,2502
"52",0.017045,0.300000,572
"53",0.363636,0.390244,2079
"54",0.178977,0.381818,2076
"55",0.065341,0.353846,973
"56",0.002841,0.111111,237
"57",0.238636,0.390698,1503
"58",0.068182,0.358209,926
"59",0.383523,0.400593,2511
"60",0.090909,0.363636,1304
"61",0.005682,0.181818,329
"62",0.181818,0.392638,1374
"63",0.034091,0.324324,495
"64",0.022727,0.347826,635
"65",0.036932,0.317073,603
"66",0.045455,0.347826,533
"67",0.096591,0.365591,1034
"68",0.196023,0.375000,1460
"69",0.355114,0.386997,2440
"70",0.011364,0.285714,837
"71",0.139205,0.376923,865
"72",0.164773,0.379085,1247
"73",0.107955,0.376238,837
"74",0.005682,0.166667,171
"75",0.184659,0.384615,2013
"76",0.019886,0.318182,269
"77",0.011364,0.250000,301
"78",0.002841,0.125000,114
"79",0.002841,0.125000,48
"80",0.005682,0.200000,132
"81",0.014205,0.250000,410
"82",0.082386,0.386667,1281
"83",0.133523,0.385246,1413
"84",0.235795,0.378995,2474
"85",0.002841,0.125000,250
"86",0.014205,0.294118,334
"87",0.002841,0.111111,266
"88",0.028409,0.333333,677
"89",0.093750,0.383721,617
"90",0.014205,0.263158,451
"91",0.017045,0.300000,537
"92",0.073864,0.366197,843
"93",0.031250,0.354839,1081
"94",0.147727,0.382353,1500
"95",0.002841,0.125000,99
"96",0.110795,0.390000,1043
"97",0.201705,0.392265,1358
"98",0.005682,0.181818,270
"99",0.011364,0.266667,459
"100",0.096591,0.404762,933
"101",0.011364,0.222222,397
"102",0.056818,0.338983,1034
"103",0.002841,0.125000,74
"104",0.295455,0.383764,2230
"105",0.002841,0.111111,170
"106",0.028409,0.333333,527
"107",0.022727,0.307692,381
"108",0.005682,0.181818,286
"109",0.090909,0.359551,1405
"110",0.022727,0.307692,687
"111",0.090909,0.380952,947
"112",0.301136,0.391144,1573
"113",0.227273,0.412371,1021
"114",0.130682,0.377049,1347
"115",0.022727,0.320000,391
