"","V1","V2","V3"
"1",0.008439,0.200000,362
"2",0.025316,0.272727,416
"3",0.054852,0.351351,739
"4",0.008439,0.181818,70
"5",0.012658,0.250000,226
"6",0.016878,0.235294,465
"7",0.004219,0.125000,153
"8",0.080169,0.372549,719
"9",0.004219,0.125000,60
"10",0.025316,0.272727,630
"11",0.016878,0.250000,422
"12",0.008439,0.200000,163
"13",0.008439,0.166667,200
"14",0.025316,0.315789,600
"15",0.008439,0.200000,363
"16",0.012658,0.230769,483
"17",0.008439,0.181818,186
"18",0.029536,0.318182,377
"19",0.025316,0.272727,398
"20",0.004219,0.111111,200
"21",0.004219,0.125000,116
"22",0.033755,0.333333,550
"23",0.012658,0.250000,270
"24",0.012658,0.250000,181
"25",0.008439,0.181818,237
"26",0.012658,0.230769,174
"27",0.016878,0.250000,257
"28",0.008439,0.181818,187
"29",0.021097,0.263158,293
"30",0.004219,0.125000,164
"31",0.016878,0.235294,490
"32",0.004219,0.125000,57
"33",0.012658,0.230769,253
"34",0.021097,0.263158,166
"35",0.012658,0.230769,196
"36",0.004219,0.125000,266
"37",0.029536,0.291667,360
"38",0.025316,0.300000,470
"39",0.008439,0.181818,249
"40",0.046414,0.354839,600
"41",0.012658,0.214286,336
"42",0.025316,0.285714,489
"43",0.016878,0.250000,535
"44",0.012658,0.200000,224
"45",0.021097,0.263158,369
"46",0.012658,0.214286,326
"47",0.008439,0.200000,430
"48",0.021097,0.263158,374
"49",0.067511,0.363636,755
"50",0.004219,0.125000,65
"51",0.016878,0.250000,549
"52",0.008439,0.200000,143
"53",0.004219,0.125000,147
"54",0.008439,0.181818,136
"55",0.016878,0.250000,404
"56",0.012658,0.230769,249
"57",0.004219,0.125000,4
"58",0.037975,0.310345,293
"59",0.008439,0.181818,310
"60",0.016878,0.235294,258
"61",0.012658,0.230769,243
"62",0.004219,0.125000,103
"63",0.016878,0.266667,206
"64",0.004219,0.125000,214
"65",0.050633,0.333333,511
"66",0.016878,0.250000,389
"67",0.033755,0.296296,704
"68",0.054852,0.325000,600
"69",0.021097,0.263158,249
"70",0.054852,0.325000,551
"71",0.012658,0.214286,388
"72",0.054852,0.317073,714
"73",0.118143,0.383562,1040
"74",0.067511,0.333333,943
"75",0.080169,0.365385,793
"76",0.004219,0.111111,140
"77",0.008439,0.181818,243
"78",0.063291,0.357143,552
"79",0.156118,0.366337,1224
"80",0.021097,0.277778,213
"81",0.004219,0.111111,63
"82",0.054852,0.325000,543
"83",0.008439,0.181818,92
"84",0.004219,0.111111,320
"85",0.004219,0.111111,247
"86",0.008439,0.181818,227
"87",0.033755,0.320000,499
"88",0.042194,0.312500,811
"89",0.029536,0.291667,378
"90",0.025316,0.300000,514
"91",0.042194,0.333333,697
"92",0.004219,0.111111,217
"93",0.008439,0.181818,257
"94",0.004219,0.125000,152
"95",0.004219,0.111111,99
"96",0.029536,0.291667,446
"97",0.012658,0.214286,269
"98",0.004219,0.125000,218
"99",0.012658,0.200000,418
"100",0.059072,0.341463,733
"101",0.004219,0.125000,193
"102",0.004219,0.111111,143
"103",0.025316,0.272727,286
"104",0.025316,0.315789,439
"105",0.004219,0.111111,75
"106",0.012658,0.214286,301
"107",0.021097,0.263158,463
"108",0.029536,0.304348,610
"109",0.004219,0.111111,107
"110",0.029536,0.291667,488
"111",0.004219,0.125000,167
"112",0.042194,0.303030,657
"113",0.130802,0.364706,760
"114",0.004219,0.125000,169
"115",0.071730,0.326923,655
"116",0.008439,0.181818,167
"117",0.008439,0.181818,391
"118",0.130802,0.364706,986
"119",0.004219,0.125000,130
"120",0.008439,0.200000,126
"121",0.016878,0.250000,318
"122",0.151899,0.387097,1577
"123",0.008439,0.200000,135
"124",0.008439,0.166667,147
"125",0.004219,0.111111,249
"126",0.008439,0.181818,164
"127",0.025316,0.300000,347
"128",0.004219,0.125000,267
"129",0.025316,0.285714,238
"130",0.004219,0.111111,142
"131",0.004219,0.125000,219
"132",0.008439,0.181818,250
"133",0.033755,0.266667,526
"134",0.004219,0.125000,234
"135",0.012658,0.230769,89
"136",0.012658,0.214286,326
"137",0.008439,0.181818,218
"138",0.004219,0.125000,75
"139",0.054852,0.309524,992
"140",0.021097,0.277778,716
"141",0.042194,0.312500,338
"142",0.012658,0.250000,233
"143",0.012658,0.214286,293
"144",0.004219,0.125000,325
"145",0.084388,0.350877,660
"146",0.008439,0.200000,281
"147",0.004219,0.111111,198
"148",0.008439,0.181818,233
"149",0.046414,0.366667,634
"150",0.004219,0.125000,148
"151",0.004219,0.111111,155
"152",0.004219,0.111111,177
"153",0.012658,0.230769,380
"154",0.037975,0.300000,396
"155",0.021097,0.277778,642
"156",0.004219,0.111111,183
"157",0.037975,0.321429,479
"158",0.004219,0.125000,135
"159",0.004219,0.111111,153
